Economy,Year,SteelConsumption
12_NZ,2021,
13_PNG,2021,
14_PE,2021,
15_RP,2021,
16_RUS,2021,
17_SIN,2021,
18_CT,2021,
19_THA,2021,
20_USA,2021,
21_VN,2021,
01_AUS,2022,
02_BD,2022,
03_CDA,2022,
04_CHL,2022,
05_PRC,2022,
06_HKC,2022,
07_INA,2022,
08_JPN,2022,
09_ROK,2022,
10_MAS,2022,
11_MEX,2022,
12_NZ,2022,
13_PNG,2022,
14_PE,2022,
15_RP,2022,
16_RUS,2022,
17_SIN,2022,
18_CT,2022,
19_THA,2022,
20_USA,2022,
21_VN,2022,
01_AUS,2023,
02_BD,2023,
03_CDA,2023,
04_CHL,2023,
05_PRC,2023,
06_HKC,2023,
07_INA,2023,
08_JPN,2023,
09_ROK,2023,
10_MAS,2023,
11_MEX,2023,
12_NZ,2023,
13_PNG,2023,
14_PE,2023,
15_RP,2023,
16_RUS,2023,
17_SIN,2023,
18_CT,2023,
19_THA,2023,
20_USA,2023,
21_VN,2023,
01_AUS,2024,
02_BD,2024,
03_CDA,2024,
04_CHL,2024,
05_PRC,2024,
06_HKC,2024,
07_INA,2024,
08_JPN,2024,
09_ROK,2024,
10_MAS,2024,
11_MEX,2024,
12_NZ,2024,
13_PNG,2024,
14_PE,2024,
15_RP,2024,
16_RUS,2024,
17_SIN,2024,
18_CT,2024,
19_THA,2024,
20_USA,2024,
21_VN,2024,
01_AUS,2025,
02_BD,2025,
03_CDA,2025,
04_CHL,2025,
05_PRC,2025,
06_HKC,2025,
07_INA,2025,
08_JPN,2025,
09_ROK,2025,
10_MAS,2025,
11_MEX,2025,
12_NZ,2025,
13_PNG,2025,
14_PE,2025,
15_RP,2025,
16_RUS,2025,
17_SIN,2025,
18_CT,2025,
19_THA,2025,
20_USA,2025,
21_VN,2025,
01_AUS,2026,
02_BD,2026,
03_CDA,2026,
04_CHL,2026,
05_PRC,2026,
06_HKC,2026,
07_INA,2026,
08_JPN,2026,
09_ROK,2026,
10_MAS,2026,
11_MEX,2026,
12_NZ,2026,
13_PNG,2026,
14_PE,2026,
15_RP,2026,
16_RUS,2026,
17_SIN,2026,
18_CT,2026,
19_THA,2026,
20_USA,2026,
21_VN,2026,
01_AUS,2027,
02_BD,2027,
03_CDA,2027,
04_CHL,2027,
05_PRC,2027,
06_HKC,2027,
07_INA,2027,
08_JPN,2027,
09_ROK,2027,
10_MAS,2027,
11_MEX,2027,
12_NZ,2027,
13_PNG,2027,
14_PE,2027,
15_RP,2027,
16_RUS,2027,
17_SIN,2027,
18_CT,2027,
19_THA,2027,
20_USA,2027,
21_VN,2027,
01_AUS,2028,
02_BD,2028,
03_CDA,2028,
04_CHL,2028,
05_PRC,2028,
06_HKC,2028,
07_INA,2028,
08_JPN,2028,
09_ROK,2028,
10_MAS,2028,
11_MEX,2028,
12_NZ,2028,
13_PNG,2028,
14_PE,2028,
15_RP,2028,
16_RUS,2028,
17_SIN,2028,
18_CT,2028,
19_THA,2028,
20_USA,2028,
21_VN,2028,
01_AUS,2029,
02_BD,2029,
03_CDA,2029,
04_CHL,2029,
05_PRC,2029,
06_HKC,2029,
07_INA,2029,
08_JPN,2029,
09_ROK,2029,
10_MAS,2029,
11_MEX,2029,
12_NZ,2029,
13_PNG,2029,
14_PE,2029,
15_RP,2029,
16_RUS,2029,
17_SIN,2029,
18_CT,2029,
19_THA,2029,
20_USA,2029,
21_VN,2029,
01_AUS,2030,
02_BD,2030,
03_CDA,2030,
04_CHL,2030,
05_PRC,2030,
06_HKC,2030,
07_INA,2030,
08_JPN,2030,
09_ROK,2030,
